image_name,psnr_degraded,psnr_restored,ssim_degraded,ssim_restored
001259.npy,14.722,14.742,0.0329,0.033
001276.npy,29.253,29.263,0.8825,0.8826
001288.npy,21.329,21.329,0.1888,0.1888
001292.npy,29.937,29.947,0.8745,0.8746
001327.npy,17.424,17.434,0.3618,0.362
001328.npy,16.512,16.529,0.1065,0.1067
001353.npy,27.507,27.52,0.6249,0.6253
001378.npy,19.808,19.825,0.4328,0.4331
001384.npy,19.044,19.059,0.6418,0.642
001389.npy,23.609,23.625,0.3209,0.3214
001393.npy,15.526,15.544,0.1151,0.1154
001408.npy,22.325,22.325,0.203,0.203
001451.npy,25.037,25.05,0.3232,0.3238
001455.npy,19.074,19.089,0.1469,0.1471
001470.npy,17.669,17.68,0.295,0.2952
001481.npy,25.476,25.487,0.5649,0.5653
001482.npy,22.878,22.89,0.4392,0.4396
001486.npy,15.473,15.485,0.0709,0.0711
001494.npy,19.192,19.198,0.1207,0.1208
001516.npy,20.45,20.465,0.6036,0.6039
001529.npy,19.231,19.245,0.2052,0.2054
001531.npy,27.752,27.765,0.6182,0.6186
001550.npy,24.609,24.623,0.4448,0.4451
001552.npy,22.533,22.543,0.6321,0.6322
001554.npy,18.731,18.745,0.3161,0.3164
001556.npy,24.976,24.978,0.3778,0.3783
001563.npy,24.917,24.928,0.623,0.6232
001576.npy,29.847,29.857,0.7727,0.7729
001599.npy,18.783,18.79,0.2231,0.2234
001620.npy,24.612,24.624,0.4524,0.4527
001634.npy,15.342,15.358,0.1048,0.105
001635.npy,16.991,16.999,0.0688,0.069
001642.npy,29.849,29.855,0.7671,0.7673
001643.npy,24.447,24.456,0.3553,0.3556
001649.npy,17.748,17.761,0.1865,0.1867
001664.npy,24.929,24.945,0.8027,0.803
001667.npy,27.411,27.423,0.7784,0.7786
001683.npy,15.398,15.413,0.3052,0.3054
001718.npy,18.446,18.464,0.1724,0.1727
001728.npy,21.331,21.332,0.4135,0.4133
001729.npy,16.335,16.355,0.5912,0.5917
001731.npy,16.169,16.187,0.6025,0.6029
001733.npy,25.868,25.873,0.3923,0.3926
001734.npy,28.847,28.851,0.5512,0.5515
001754.npy,20.667,20.68,0.3693,0.3695
001765.npy,20.616,20.63,0.2825,0.2828
001780.npy,21.535,21.533,0.2337,0.234
001794.npy,17.353,17.369,0.3412,0.3414
001815.npy,17.334,17.352,0.4573,0.4577
001837.npy,15.224,15.238,0.2233,0.2234
